Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,PrivacyAdvantage
0.2,ID1408,X11,0,BayesianNet,1,0.622738,0.377262,0.571513,0.572545,-0.00103,0.378292
0.2,ID1408,X11,0,IndependentHistogram,1,0.622738,0.377262,0.198705,0.180588,0.018118,0.359144
0.2,ID1408,X11,0,PrivBayesEps1.0,1,0.622738,0.377262,0.162941,0.158155,0.004786,0.372476
0.2,ID1408,X11,1,BayesianNet,1,0.68756,0.31244,0.643928,0.642295,0.001633,0.310807
0.2,ID1408,X11,1,IndependentHistogram,1,0.68756,0.31244,0.127699,0.144713,-0.01701,0.32945
0.2,ID1408,X11,1,PrivBayesEps1.0,1,0.68756,0.31244,0.150903,0.149335,0.001567,0.310873
0.2,ID1408,X11,2,BayesianNet,1,0.667587,0.332413,0.612833,0.621964,-0.00913,0.341543
0.2,ID1408,X11,2,IndependentHistogram,1,0.667587,0.332413,0.165766,0.171867,-0.0061,0.338513
0.2,ID1408,X11,2,PrivBayesEps1.0,1,0.667587,0.332413,0.170502,0.155142,0.01536,0.317053
0.2,ID1408,X11,3,BayesianNet,1,0.659265,0.340735,0.58898,0.600622,-0.01164,0.352375
0.2,ID1408,X11,3,IndependentHistogram,1,0.659265,0.340735,0.161504,0.169742,-0.00824,0.348975
0.2,ID1408,X11,3,PrivBayesEps1.0,1,0.659265,0.340735,0.163622,0.154511,0.009111,0.331624
0.2,ID1408,X11,4,BayesianNet,1,0.655542,0.344458,0.599741,0.591858,0.007883,0.336575
0.2,ID1408,X11,4,IndependentHistogram,1,0.655542,0.344458,0.19139,0.177695,0.013696,0.330762
0.2,ID1408,X11,4,PrivBayesEps1.0,1,0.655542,0.344458,0.163315,0.154882,0.008434,0.336024
0.2,ID1408,X11,5,BayesianNet,1,0.662417,0.337583,0.595584,0.602664,-0.00708,0.344663
0.2,ID1408,X11,5,IndependentHistogram,1,0.662417,0.337583,0.154482,0.155993,-0.00151,0.339093
0.2,ID1408,X11,5,PrivBayesEps1.0,1,0.662417,0.337583,0.157104,0.161152,-0.00405,0.341633
0.2,ID1408,X11,6,BayesianNet,1,0.695739,0.304261,0.626409,0.650427,-0.02402,0.328281
0.2,ID1408,X11,6,IndependentHistogram,1,0.695739,0.304261,0.163261,0.156986,0.006275,0.297986
0.2,ID1408,X11,6,PrivBayesEps1.0,1,0.695739,0.304261,0.168889,0.161995,0.006894,0.297367
0.2,ID1408,X11,7,BayesianNet,1,0.666065,0.333935,0.617295,0.6268,-0.00951,0.343445
0.2,ID1408,X11,7,IndependentHistogram,1,0.666065,0.333935,0.161063,0.166394,-0.00533,0.339265
0.2,ID1408,X11,7,PrivBayesEps1.0,1,0.666065,0.333935,0.152968,0.170578,-0.01761,0.351545
0.2,ID1408,X11,8,BayesianNet,1,0.687731,0.312269,0.611737,0.60102,0.010718,0.301551
0.2,ID1408,X11,8,IndependentHistogram,1,0.687731,0.312269,0.149907,0.154513,-0.00461,0.316879
0.2,ID1408,X11,8,PrivBayesEps1.0,1,0.687731,0.312269,0.162135,0.154492,0.007644,0.304625
0.2,ID1408,X11,9,BayesianNet,1,0.660437,0.339563,0.599944,0.596563,0.003381,0.336182
0.2,ID1408,X11,9,IndependentHistogram,1,0.660437,0.339563,0.165727,0.168098,-0.00237,0.341933
0.2,ID1408,X11,9,PrivBayesEps1.0,1,0.660437,0.339563,0.164114,0.158019,0.006095,0.333468
0.2,ID1408,X13,0,BayesianNet,1,0.447295,0.552705,0.441711,0.441532,0.000179,0.552526
0.2,ID1408,X13,0,IndependentHistogram,1,0.447295,0.552705,0.367747,0.383333,-0.01559,0.568295
0.2,ID1408,X13,0,PrivBayesEps1.0,1,0.447295,0.552705,0.178464,0.167618,0.010846,0.541859
0.2,ID1408,X13,1,BayesianNet,1,0.411668,0.588332,0.43173,0.448018,-0.01629,0.604622
0.2,ID1408,X13,1,IndependentHistogram,1,0.411668,0.588332,0.36841,0.364398,0.004013,0.584319
0.2,ID1408,X13,1,PrivBayesEps1.0,1,0.411668,0.588332,0.169057,0.168585,0.000472,0.58786
0.2,ID1408,X13,2,BayesianNet,1,0.405576,0.594424,0.373027,0.374498,-0.00147,0.595894
0.2,ID1408,X13,2,IndependentHistogram,1,0.405576,0.594424,0.367644,0.367033,0.000611,0.593813
0.2,ID1408,X13,2,PrivBayesEps1.0,1,0.405576,0.594424,0.161741,0.174579,-0.01284,0.607264
0.2,ID1408,X13,3,BayesianNet,1,0.376834,0.623166,0.353632,0.364794,-0.01116,0.634326
0.2,ID1408,X13,3,IndependentHistogram,1,0.376834,0.623166,0.377029,0.374701,0.002329,0.620837
0.2,ID1408,X13,3,PrivBayesEps1.0,1,0.376834,0.623166,0.160841,0.171265,-0.01042,0.633586
0.2,ID1408,X13,4,BayesianNet,1,0.398552,0.601448,0.421264,0.389149,0.032116,0.569332
0.2,ID1408,X13,4,IndependentHistogram,1,0.398552,0.601448,0.373885,0.369988,0.003898,0.59755
0.2,ID1408,X13,4,PrivBayesEps1.0,1,0.398552,0.601448,0.166114,0.177952,-0.01184,0.613288
0.2,ID1408,X13,5,BayesianNet,1,0.39471,0.60529,0.363671,0.359145,0.004526,0.600764
0.2,ID1408,X13,5,IndependentHistogram,1,0.39471,0.60529,0.358036,0.365388,-0.00735,0.61264
0.2,ID1408,X13,5,PrivBayesEps1.0,1,0.39471,0.60529,0.173658,0.162321,0.011337,0.593953
0.2,ID1408,X13,6,BayesianNet,1,0.413905,0.586095,0.389466,0.381161,0.008305,0.57779
0.2,ID1408,X13,6,IndependentHistogram,1,0.413905,0.586095,0.370065,0.370217,-0.00015,0.586245
0.2,ID1408,X13,6,PrivBayesEps1.0,1,0.413905,0.586095,0.163317,0.17163,-0.00831,0.594405
0.2,ID1408,X13,7,BayesianNet,1,0.395197,0.604803,0.393429,0.384255,0.009174,0.595629
0.2,ID1408,X13,7,IndependentHistogram,1,0.395197,0.604803,0.383879,0.381123,0.002756,0.602047
0.2,ID1408,X13,7,PrivBayesEps1.0,1,0.395197,0.604803,0.170952,0.17177,-0.00082,0.605623
0.2,ID1408,X13,8,BayesianNet,1,0.406009,0.593991,0.318946,0.351745,-0.0328,0.626791
0.2,ID1408,X13,8,IndependentHistogram,1,0.406009,0.593991,0.382756,0.378227,0.004528,0.589463
0.2,ID1408,X13,8,PrivBayesEps1.0,1,0.406009,0.593991,0.166543,0.172745,-0.0062,0.600191
0.2,ID1408,X13,9,BayesianNet,1,0.425774,0.574226,0.426015,0.379381,0.046634,0.527592
0.2,ID1408,X13,9,IndependentHistogram,1,0.425774,0.574226,0.364849,0.375219,-0.01037,0.584596
0.2,ID1408,X13,9,PrivBayesEps1.0,1,0.425774,0.574226,0.17289,0.165889,0.007001,0.567225
0.2,ID143,X11,0,BayesianNet,1,0.624474,0.375526,0.586616,0.588451,-0.00183,0.377356
0.2,ID143,X11,0,IndependentHistogram,1,0.624474,0.375526,0.380917,0.378471,0.002446,0.37308
0.2,ID143,X11,0,PrivBayesEps1.0,1,0.624474,0.375526,0.186008,0.172148,0.013859,0.361667
0.2,ID143,X11,1,BayesianNet,1,0.679095,0.320905,0.649082,0.651533,-0.00245,0.323355
0.2,ID143,X11,1,IndependentHistogram,1,0.679095,0.320905,0.380535,0.382621,-0.00209,0.322995
0.2,ID143,X11,1,PrivBayesEps1.0,1,0.679095,0.320905,0.170702,0.169272,0.00143,0.319475
0.2,ID143,X11,2,BayesianNet,1,0.689964,0.310036,0.645727,0.647957,-0.00223,0.312266
0.2,ID143,X11,2,IndependentHistogram,1,0.689964,0.310036,0.376492,0.373763,0.002729,0.307307
0.2,ID143,X11,2,PrivBayesEps1.0,1,0.689964,0.310036,0.172798,0.171068,0.00173,0.308306
0.2,ID143,X11,3,BayesianNet,1,0.667359,0.332641,0.617428,0.62252,-0.00509,0.337731
0.2,ID143,X11,3,IndependentHistogram,1,0.667359,0.332641,0.373669,0.376391,-0.00272,0.335361
0.2,ID143,X11,3,PrivBayesEps1.0,1,0.667359,0.332641,0.175441,0.167132,0.00831,0.324331
0.2,ID143,X11,4,BayesianNet,1,0.670026,0.329974,0.632193,0.63123,0.000964,0.32901
0.2,ID143,X11,4,IndependentHistogram,1,0.670026,0.329974,0.374121,0.378461,-0.00434,0.334314
0.2,ID143,X11,4,PrivBayesEps1.0,1,0.670026,0.329974,0.176925,0.167679,0.009246,0.320728
