Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,PrivacyAdvantage
sigma=0.2,ID1408,X11,0,BayesianNet,1,0.164567,0.835433,0.168872,0.178304,-0.00943,0.844863
sigma=0.2,ID1408,X11,0,IndependentHistogram,1,0.164567,0.835433,0.04652,0.045048,0.001472,0.833961
sigma=0.2,ID1408,X11,0,PrivBayesEps1.0,1,0.164567,0.835433,0.090135,0.084329,0.005806,0.829627
sigma=0.2,ID1408,X11,1,BayesianNet,1,0.154786,0.845214,0.184648,0.189271,-0.00462,0.849834
sigma=0.2,ID1408,X11,1,IndependentHistogram,1,0.154786,0.845214,0.047618,0.049401,-0.00178,0.846994
sigma=0.2,ID1408,X11,1,PrivBayesEps1.0,1,0.154786,0.845214,0.078613,0.08259,-0.00398,0.849194
sigma=0.2,ID1408,X11,2,BayesianNet,1,0.165356,0.834644,0.178776,0.170645,0.008132,0.826512
sigma=0.2,ID1408,X11,2,IndependentHistogram,1,0.165356,0.834644,0.04536,0.047063,-0.0017,0.836344
sigma=0.2,ID1408,X11,2,PrivBayesEps1.0,1,0.165356,0.834644,0.092275,0.088565,0.00371,0.830934
sigma=0.2,ID1408,X11,3,BayesianNet,1,0.168963,0.831037,0.194039,0.201359,-0.00732,0.838357
sigma=0.2,ID1408,X11,3,IndependentHistogram,1,0.168963,0.831037,0.046909,0.047524,-0.00062,0.831657
sigma=0.2,ID1408,X11,3,PrivBayesEps1.0,1,0.168963,0.831037,0.087265,0.083336,0.003929,0.827108
sigma=0.2,ID1408,X11,4,BayesianNet,1,0.196563,0.803437,0.218867,0.230929,-0.01206,0.815497
sigma=0.2,ID1408,X11,4,IndependentHistogram,1,0.196563,0.803437,0.051445,0.049355,0.00209,0.801347
sigma=0.2,ID1408,X11,4,PrivBayesEps1.0,1,0.196563,0.803437,0.088526,0.084918,0.003608,0.799829
sigma=0.2,ID1408,X11,5,BayesianNet,1,0.145775,0.854225,0.179321,0.186612,-0.00729,0.861515
sigma=0.2,ID1408,X11,5,IndependentHistogram,1,0.145775,0.854225,0.04351,0.04605,-0.00254,0.856765
