Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,PrivacyAdvantage
try3,ID1408,X11,0,BayesianNet,1,0.694838,0.305162,0.361772,0.364668,-0.0029,0.308062
try3,ID1408,X11,0,IndependentHistogram,1,0.694838,0.305162,0.217864,0.221682,-0.00382,0.308982
try3,ID1408,X11,0,PrivBayesEps1.0,1,0.694838,0.305162,0.111309,0.109579,0.00173,0.303432
try3,ID1408,X11,1,BayesianNet,1,0.456584,0.543416,0.060891,0.059355,0.001536,0.54188
try3,ID1408,X11,1,IndependentHistogram,1,0.456584,0.543416,0.235667,0.231128,0.004539,0.538877
try3,ID1408,X11,1,PrivBayesEps1.0,1,0.456584,0.543416,0.096065,0.1056,-0.00953,0.552946
try3,ID1408,X11,2,BayesianNet,1,0.440775,0.559225,0.049672,0.055559,-0.00589,0.565115
try3,ID1408,X11,2,IndependentHistogram,1,0.440775,0.559225,0.224263,0.228256,-0.00399,0.563215
try3,ID1408,X11,2,PrivBayesEps1.0,1,0.440775,0.559225,0.113804,0.112261,0.001544,0.557681
try3,ID1408,X11,3,BayesianNet,1,0.64725,0.35275,0.323794,0.329365,-0.00557,0.35832
try3,ID1408,X11,3,IndependentHistogram,1,0.64725,0.35275,0.218194,0.211433,0.006761,0.345989
try3,ID1408,X11,3,PrivBayesEps1.0,1,0.64725,0.35275,0.09995,0.115184,-0.01523,0.36798
try3,ID1408,X11,4,BayesianNet,1,0.658742,0.341258,0.309914,0.321435,-0.01152,0.352778
try3,ID1408,X11,4,IndependentHistogram,1,0.658742,0.341258,0.217568,0.211717,0.005851,0.335407
try3,ID1408,X11,4,PrivBayesEps1.0,1,0.658742,0.341258,0.111941,0.103852,0.008089,0.333169
try3,ID1408,X11,5,BayesianNet,1,0.59118,0.40882,0.073023,0.065874,0.007148,0.401672
try3,ID1408,X11,5,IndependentHistogram,1,0.59118,0.40882,0.222339,0.217878,0.00446,0.40436
try3,ID1408,X11,5,PrivBayesEps1.0,1,0.59118,0.40882,0.10742,0.096952,0.010468,0.398352
try3,ID1408,X11,6,BayesianNet,1,0.518418,0.481582,0.079259,0.078974,0.000285,0.481297
try3,ID1408,X11,6,IndependentHistogram,1,0.518418,0.481582,0.202543,0.21033,-0.00779,0.489372
try3,ID1408,X11,6,PrivBayesEps1.0,1,0.518418,0.481582,0.105075,0.107802,-0.00273,0.484312
try3,ID1408,X11,7,BayesianNet,1,0.632013,0.367987,0.056199,0.052405,0.003793,0.364194
try3,ID1408,X11,7,IndependentHistogram,1,0.632013,0.367987,0.209083,0.208672,0.000411,0.367576
try3,ID1408,X11,7,PrivBayesEps1.0,1,0.632013,0.367987,0.103706,0.106229,-0.00252,0.370507
try3,ID1408,X11,8,BayesianNet,1,0.55826,0.44174,0.104542,0.083731,0.020811,0.420929
try3,ID1408,X11,8,IndependentHistogram,1,0.55826,0.44174,0.211781,0.216219,-0.00444,0.44618
try3,ID1408,X11,8,PrivBayesEps1.0,1,0.55826,0.44174,0.112167,0.106849,0.005318,0.436422
try3,ID1408,X11,9,BayesianNet,1,0.686736,0.313264,0.367982,0.370729,-0.00275,0.316014
try3,ID1408,X11,9,IndependentHistogram,1,0.686736,0.313264,0.217791,0.231353,-0.01356,0.326824
try3,ID1408,X11,9,PrivBayesEps1.0,1,0.686736,0.313264,0.108761,0.104561,0.0042,0.309064
try3,ID1408,X13,0,BayesianNet,1,0.613002,0.386998,0.209504,0.214484,-0.00498,0.391978
try3,ID1408,X13,0,IndependentHistogram,1,0.613002,0.386998,0.17357,0.182103,-0.00853,0.395528
